,,クモハ100,,クモハ101,,モハ100,,モハ101,,,
,,クハ100,,クハ101,,サハ100,,サハ101,,,
所属,,車番,新製年月日,製造所,配置区,,転属年月日,新区,廃車年月日,,
,,,改造年月日,改造所,配置区,改造前車番,,,改造年月日,改造後車番,
クモハ100,,,,,,,,,,,
国,○,クモハ100-1,1959.06.01,（改番）,三鷹,モハ90512,1959.11.09,武蔵小金井,1982.06.21,,
,,,,,,,1966.12.12,豊田,,,
,,,,,,,1969.04.07,武蔵小金井,,,
国,○,クモハ100-2,1959.06.01,（改番）,三鷹,モハ90514,1959.11.09,武蔵小金井,1980.01.09,クモル145-8,
国,○,クモハ100-3,1959.06.01,（改番）,三鷹,モハ90516,1959.11.09,武蔵小金井,1984.09.29,,
国,○,クモハ100-4,1959.06.01,（改番）,三鷹,モハ90518,1959.11.09,武蔵小金井,1979.04.14,,
,,,,,,,1966.12.12,豊田,,,
国,○,クモハ100-5,1959.06.01,（改番）,三鷹,モハ90520,1959.11.09,武蔵小金井,1985.01.29,,
,,,,,,,1982.09.29,日根野,,,
国,○,クモハ100-6,1959.06.01,（改番）,三鷹,モハ90522,1959.11.09,武蔵小金井,1983.10.17,,
国,○,クモハ100-7,1959.06.01,（改番）,三鷹,モハ90524,1959.11.09,武蔵小金井,1980.10.28,,
,,,,,,,1966.12.12,豊田,,,
国,○,クモハ100-8,1959.06.01,（改番）,三鷹,モハ90526,1959.11.09,武蔵小金井,1973.11.21,,
国,○,クモハ100-9,1959.06.01,（改番）,三鷹,モハ90528,1959.11.09,武蔵小金井,1972.12.07,クモハ100-1001,
,,,,,,,1969.04.08,豊田,,,
国,○,クモハ100-10,1959.06.01,（改番）,三鷹,モハ90530,1959.11.09,武蔵小金井,1979.03.09,,
国,○,クモハ100-11,1959.06.01,（改番）,三鷹,モハ90532,1959.11.09,武蔵小金井,1982.10.19,,
,,,,,,,1962.10.28,淀川,,,
,,,,,,,1973.08.23,鳳,,,
,,,,,,,1978.10.01,日根野,,,
国,○,クモハ100-12,1959.06.01,（改番）,三鷹,モハ90534,1959.11.09,武蔵小金井,1980.03.24,クル144-4,
,,,,,,,1961.10.21,淀川,,,
,,,,,,,1961.11.18,武蔵小金井,,,
,,,,,,,1962.02.02,淀川,,,
,,,,,,,1969.11.24,森ノ宮,,,
,,,,,,,1973.08.23,淀川,,,
国,○,クモハ100-13,1959.06.01,（改番）,三鷹,モハ90536,1959.11.09,武蔵小金井,1980.08.22,クモル145-1,
,,,,,,,1966.12.12,豊田,,,
国,○,クモハ100-14,1959.06.01,（改番）,三鷹,モハ90538,1959.11.09,武蔵小金井,1982.03.16,,
,,,,,,,1960.11.20,三鷹,,,
,,,,,,,1961.10.30,武蔵小金井,,,
国,○,クモハ100-15,1959.06.01,（改番）,三鷹,モハ90540,1959.11.09,武蔵小金井,1979.05.18,,
,,,,,,,1966.12.12,豊田,,,
国,○,クモハ100-16,1959.06.01,（改番）,三鷹,モハ90542,1959.11.09,武蔵小金井,1979.07.17,,
国,○,クモハ100-17,1959.06.01,（改番）,三鷹,モハ90544,1959.11.09,武蔵小金井,1983.08.23,,
,,,,,,,1982.08.09,日根野,,,
国,○,クモハ100-18,1959.06.01,（改番）,三鷹,モハ90546,1959.11.09,武蔵小金井,1980.03.25,クモル145-9,
,,,,,,,1966.12.12,豊田,,,
,,,,,,,1971.03.26,浦和,,,
,,,,,,,1976.03.13,武蔵小金井,,,
国,○,クモハ100-19,1959.06.01,（改番）,三鷹,モハ90548,1959.11.09,武蔵小金井,1973.01.16,クモハ100-1002,
,,,,,,,1960.11.19,中野,,,
,,,,,,,1966.04.28,武蔵小金井,,,
,,,,,,,1966.12.12,豊田,,,
国,○,クモハ100-20,1959.06.01,（改番）,三鷹,モハ90550,1959.11.09,武蔵小金井,1980.07.16,,
,,,,,,,1960.11.19,中野,,,
,,,,,,,1966.04.28,三鷹,,,
,,,,,,,1966.12.12,豊田,,,
,,,,,,,1979.04.19,武蔵小金井,,,
国,○,クモハ100-21,1959.06.01,（改番）,三鷹,モハ90552,1959.11.09,武蔵小金井,1980.07.01,,
,,,,,,,1960.11.19,中野,,,
,,,,,,,1966.04.28,三鷹,,,
,,,,,,,1968.03.16,森ノ宮,,,
,,,,,,,1973.08.22,淀川,,,
国,○,クモハ100-22,1959.06.01,（改番）,三鷹,モハ90554,1959.11.09,武蔵小金井,1980.03.24,クル144-3,
,,,,,,,1960.11.19,中野,,,
,,,,,,,1966.04.28,三鷹,,,
,,,,,,,1968.03.16,森ノ宮,,,
,,,,,,,1973.08.24,淀川,,,
国,○,クモハ100-23,1959.06.01,（改番）,三鷹,モハ90556,1959.11.09,武蔵小金井,1982.06.14,,
,,,,,,,1960.11.19,中野,,,
,,,,,,,1966.04.28,武蔵小金井,,,
国,○,クモハ100-24,1959.06.01,（改番）,三鷹,モハ90558,1959.11.09,武蔵小金井,1980.09.04,クモル145-2,
,,,,,,,1960.11.20,三鷹,,,
,,,,,,,1961.11.21,武蔵小金井,,,
,,,,,,,1966.12.12,豊田,,,
国,○,クモハ100-25,1959.06.01,（改番）,三鷹,モハ90560,1960.10.24,中野,1983.06.24,,
,,,,,,,1966.04.28,武蔵小金井,,,
,,,,,,,1966.12.12,豊田,,,
,,,,,,,1973.09.18,鳳,,,
,,,,,,,1978.10.01,日根野,,,
国,○,クモハ100-26,1959.06.01,（改番）,三鷹,モハ90562,1960.11.17,中野,1972.11.04,クモハ100-1003,
,,,,,,,1966.04.28,三鷹,,,
,,,,,,,1966.12.12,豊田,,,
国,○,クモハ100-27,1959.06.01,（改番）,三鷹,モハ90564,1960.10.31,淀川,1982.11.12,,
,,,,,,,1961.04.01,森ノ宮,,,
,,,,,,,1973.07.05,鳳,,,
,,,,,,,1978.10.01,日根野,,,
国,○,クモハ100-28,1959.06.01,（改番）,三鷹,モハ90566,1960.09.12,淀川,1983.03.24,,
,,,,,,,1961.04.01,森ノ宮,,,
,,,,,,,1973.07.19,鳳,,,
,,,,,,,1978.10.01,日根野,,,
国,○,クモハ100-29,1959.06.01,（改番）,三鷹,モハ90568,1960.09.12,淀川,1982.11.15,,
,,,,,,,1961.04.01,森ノ宮,,,
,,,,,,,1973.08.01,鳳,,,
,,,,,,,1978.10.01,日根野,,,
国,○,クモハ100-30,1959.06.01,（改番）,三鷹,モハ90570,1960.11.19,中野,1983.04.27,,
,,,,,,,1966.04.28,武蔵小金井,,,
,,,,,,,1966.12.12,豊田,,,
,,,,,,,1973.09.18,鳳,,,
,,,,,,,1978.10.01,日根野,,,
国,○,クモハ100-31,1959.06.01,（改番）,三鷹,モハ90572,1960.11.10,中野,1979.02.28,,
,,,,,,,1966.04.28,武蔵小金井,,,
,,,,,,,1966.12.12,豊田,,,
国,○,クモハ100-32,1959.06.01,（改番）,三鷹,モハ90574,1960.11.16,中野,1982.05.25,,
,,,,,,,1966.04.28,武蔵小金井,,,
,,,,,,,1966.12.12,豊田,,,
,,,,,,,1972.12.12,武蔵小金井,,,
国,○,クモハ100-33,1959.06.01,（改番）,三鷹,モハ90576,1961.11.20,武蔵小金井,1980.05.30,,
,,,,,,,1962.11.13,池袋,,,
,,,,,,,1964.11.09,津田沼,,,
,,,,,,,1966.04.28,中野,,,
,,,,,,,1968.03.16,森ノ宮,,,
,,,,,,,1973.08.25,淀川,,,
国,○,クモハ100-34,1959.06.01,（改番）,三鷹,モハ90578,1961.12.02,武蔵小金井,1982.11.18,,
,,,,,,,1966.12.12,豊田,,,
,,,,,,,1976.09.20,中野,,,
国,○,クモハ100-35,1959.06.01,（改番）,三鷹,モハ90580,1961.12.24,武蔵小金井,1979.04.14,,
国,○,クモハ100-36,1959.06.01,（改番）,三鷹,モハ90582,1966.12.12,豊田,1985.02.19,,
,,,,,,,1980.05.08,武蔵小金井,,,
国,○,クモハ100-37,1959.06.01,（改番）,三鷹,モハ90584,1972.10.02,武蔵小金井,1983.08.23,,
,,,,,,,1982.08.23,日根野,,,
国,○,クモハ100-38,1959.06.01,（改番）,三鷹,モハ90586,1972.10.02,武蔵小金井,1982.01.26,,
国,○,クモハ100-39,1959.06.01,（改番）,三鷹,モハ90588,1966.12.12,豊田,1980.03.26,クモル145-10,
国,○,クモハ100-40,1959.06.01,（改番）,三鷹,モハ90590,1961.12.11,武蔵小金井,1981.02.24,クモヤ145-8,
国,○,クモハ100-41,1959.06.01,（改番）,三鷹,モハ90592,1966.12.12,豊田,1983.10.12,,
,,,,,,,1981.11.06,武蔵小金井,,,
国,○,クモハ100-42,1959.06.01,（改番）,三鷹,モハ90594,1978.04.19,中原,1982.06.28,,
国,○,クモハ100-43,1959.06.01,（改番）,三鷹,モハ90596,1966.12.12,豊田,1977.04.28,クモハ100-1012,
国,○,クモハ100-44,1959.06.01,（改番）,三鷹,モハ90598,1969.04.08,中野,1985.01.10,,
国,○,クモハ100-45,1959.06.01,（改番）,三鷹,モハ90600,1966.12.12,豊田,1983.02.18,,
,,,,,,,1973.01.29,三鷹,,,
,,,,,,,1978.09.01,豊田,,,
,,,,,,,1981.12.18,武蔵小金井,,,
国,○,クモハ100-46,1959.06.01,（改番）,三鷹,モハ90602,1978.06.10,中原,1980.09.24,,
,,,,,,,1980.09.01,武蔵小金井,,,
国,○,クモハ100-47,1959.06.01,（改番）,三鷹,モハ90604,1978.01.12,中原,1984.08.30,,
,,,,,,,1982.09.30,日根野,,,
国,○,クモハ100-48,1959.06.01,（改番）,三鷹,モハ90606,1966.12.12,豊田,1979.04.14,,
国,○,クモハ100-49,1959.06.01,（改番）,三鷹,モハ90608,1969.04.08,豊田,1981.09.30,,
,,,,,,,1972.07.14,武蔵小金井,,,
国,○,クモハ100-50,1959.06.01,（改番）,三鷹,モハ90610,1962.11.09,池袋,1983.03.18,,
,,,,,,,1965.04.19,津田沼,,,
,,,,,,,1966.04.28,中野,,,
国,○,クモハ100-51,1959.06.01,（改番）,三鷹,モハ90612,1966.12.12,豊田,1980.08.14,,
,,,,,,,1973.05.19,中原,,,
国,○,クモハ100-52,1959.06.01,（改番）,三鷹,モハ90614,1966.12.12,豊田,1981.12.24,,
国,○,クモハ100-53,1959.06.01,（改番）,三鷹,モハ90616,1966.12.12,豊田,1977.02.03,クモハ100-1013,
国,○,クモハ100-54,1959.06.01,（改番）,三鷹,モハ90618,1962.11.14,池袋,1982.12.10,,
,,,,,,,1964.06.18,津田沼,,,
,,,,,,,1966.04.28,中野,,,
